v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted,cf_2,cf_3
,,,,,,,,,,,,,,,,,,,,2446,19,Cancel Booked Event (App),1,,,,
,,,,,,,,,,,,,,,,,,,,2446,,US01 - Configure Cancellation Settings,1,,,,
,Cancel Booked Event – Cancellation Settings – Allow Cancellation checkboxes default unchecked,"AC 01.1 - Equivalence Partitioning: Both Allow Cancellation checkboxes (Directly Added Participants and Booking System Participants) are un-selected by default on a new Master Event.","Admin has access to create a new Master Event",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Navigate to Master Event creation page""
2. ""Locate the Cancellation Settings section""
3. ""Check Allow Cancellation for Directly Added Participants checkbox""
4. ""Check Allow Cancellation for Booking System Participants checkbox""
","1. ""Master Event creation page loads""
2. ""Cancellation Settings section is displayed""
3. ""Checkbox is unchecked (default = false)""
4. ""Checkbox is unchecked (default = false)""
","1. """"
2. """"
3. ""Expected: unchecked""
4. ""Expected: unchecked""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Settings – Enable Allow Cancellation for Directly Added Participants,"AC 01.1 - Equivalence Partitioning: When selected, participants added through SF Assign To Event can cancel via mobile app.","Admin has access to Master Event settings",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Check Allow Cancellation for Directly Added Participants""
3. ""Save settings""
4. ""Re-open Master Event settings""
","1. ""Settings page loads""
2. ""Checkbox is checked""
3. ""Settings saved successfully""
4. ""Checkbox remains checked""
","1. """"
2. """"
3. """"
4. ""Allow_Cancel_Direct__c = true""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Settings – Enable Allow Cancellation for Booking System Participants,"AC 01.1 - Equivalence Partitioning: When selected, participants who booked via booking system can cancel via mobile app.","Admin has access to Master Event settings",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Check Allow Cancellation for Booking System Participants""
3. ""Save settings""
4. ""Re-open Master Event settings""
","1. ""Settings page loads""
2. ""Checkbox is checked""
3. ""Settings saved successfully""
4. ""Checkbox remains checked""
","1. """"
2. """"
3. """"
4. ""Allow_Cancel_Booked__c = true""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancel Button Visibility – Cancel Type = Cancel shows button on mobile,"AC 01.1 - Decision Table: Cancel button visible when Cancellation Type is Cancel and Event Activity Date/Time is in the future.","Master Event has:
- Allow Cancellation for Booking System Participants = true
- Cancellation Type = Cancel
- Event Activity Date/Time is in the future
- Student has booked the event via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner mobile app as student""
2. ""Open the booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App opens successfully""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Cancel Type = Cancel""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancel Button Visibility – Cancel Type = Cancel Request shows button on mobile,"AC 01.1 - Decision Table: Cancel button visible when Cancellation Type is Cancel Request and Event Activity Date/Time is in the future.","Master Event has:
- Allow Cancellation for Booking System Participants = true
- Cancellation Type = Cancel Request
- Event Activity Date/Time is in the future
- Student has booked the event via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner mobile app as student""
2. ""Open the booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App opens successfully""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Cancel Type = Cancel Request""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancel Button Visibility – Cancel Type = Do not allow hides button on mobile,"AC 01.1 - Decision Table: Cancel button hidden when Cancellation Type is Do not allow.","Master Event has:
- Cancellation Type = Do not allow
- Student has booked the event via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner mobile app as student""
2. ""Open the booked event detail""
3. ""Check for Cancel Reservation button""
","1. ""App opens successfully""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is NOT visible""
","1. """"
2. """"
3. ""Cancel Type = Do not allow""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Migration – Cancel Config ON migrates to Cancel Type = Cancel,"AC 01.1 - Data Integrity: For partners with Cancel Config = On, existing events migrate to Cancel Type = Cancel.","Partner has Cancel Config = On with existing events",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Run migration for partner with Cancel Config = On""
2. ""Open existing Master Event settings""
3. ""Check Cancellation Type value""
","1. ""Migration completes successfully""
2. ""Settings page loads""
3. ""Cancellation Type = Cancel""
","1. ""Cancel Config = On""
2. """"
3. ""Expected: Cancel""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Migration – Cancel Config OFF migrates to Cancel Type = Do not allow,"AC 01.1 - Data Integrity: For partners with Cancel Config = Off, existing events migrate to Cancel Type = Do not allow.","Partner has Cancel Config = Off with existing events",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Run migration for partner with Cancel Config = Off""
2. ""Open existing Master Event settings""
3. ""Check Cancellation Type value""
","1. ""Migration completes successfully""
2. ""Settings page loads""
3. ""Cancellation Type = Do not allow""
","1. ""Cancel Config = Off""
2. """"
3. ""Expected: Do not allow""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Type – Enabled when Allow Cancellation is selected,"AC 01.2 - Decision Table: Cancellation Type is enabled and required when one or both Allow Cancellation checkboxes are selected.","Admin has access to Master Event settings",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Check Allow Cancellation for Booking System Participants""
3. ""Check Cancellation Type field state""
4. ""Uncheck both Allow Cancellation checkboxes""
5. ""Check Cancellation Type field state""
","1. ""Settings page loads""
2. ""Checkbox is checked""
3. ""Cancellation Type is enabled and required""
4. ""Both checkboxes are unchecked""
5. ""Cancellation Type is disabled""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Type – Do not allow disables cancel-related fields,"AC 01.2 - Decision Table: When Cancellation Type = Do not allow, other cancel-related fields are disabled.","Admin has access to Master Event settings
Allow Cancellation checkbox is selected",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Set Cancellation Type to Do not allow""
3. ""Check Cancellation Deadline field state""
","1. ""Settings page loads""
2. ""Cancellation Type = Do not allow""
3. ""Cancellation Deadline field is disabled""
","1. """"
2. """"
3. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Type – Single select only,"AC 01.2 - Equivalence Partitioning: Only one Cancellation Type option can be selected at a time.","Admin has access to Master Event settings
Allow Cancellation checkbox is selected",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Select Cancellation Type = Cancel""
3. ""Change to Cancellation Type = Cancel Request""
4. ""Check previously selected option""
","1. ""Settings page loads""
2. ""Cancel is selected""
3. ""Cancel Request is selected""
4. ""Cancel is deselected (single select only)""
","1. """"
2. """"
3. """"
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Enabled when Cancellation Type is Cancel or Cancel Request,"AC 01.3 - Decision Table: Cancellation Deadline fields enabled when Cancellation Type is Cancel or Cancel Request.","Admin has access to Master Event settings
Allow Cancellation checkbox is selected",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Set Cancellation Type = Cancel""
3. ""Check Cancellation Deadline field state""
4. ""Set Cancellation Type = Cancel Request""
5. ""Check Cancellation Deadline field state""
","1. ""Settings page loads""
2. ""Cancel selected""
3. ""Cancellation Deadline field is enabled""
4. ""Cancel Request selected""
5. ""Cancellation Deadline field is enabled""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Default disabled,"AC 01.3 - Equivalence Partitioning: Cancellation Deadline is disabled by default.","Admin has access to Master Event settings",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings for a new event""
2. ""Check Cancellation Deadline field state""
","1. ""Settings page loads""
2. ""Cancellation Deadline field is disabled (default)""
","1. """"
2. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – 0 or null means deadline equals event date,"AC 01.3 - BVA: When cancellation deadline is 0 or null, deadline is the same as the event date.","Master Event has:
- Cancellation Type = Cancel
- Cancellation Deadline = 0
- Event Date = 2026-04-01 09:00 (Event Timezone)",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student who booked the event""
2. ""Open event detail 1 hour before event start""
3. ""Check Cancel Reservation button state""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Cancel Reservation button is visible and enabled (deadline = event date, current time is before event)""
","1. """"
2. ""Event Date = 2026-04-01 09:00, Cancellation Deadline = 0""
3. ""Current time = 2026-04-01 08:00""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Correct cutoff calculation,"AC 01.3 - BVA: Cancellation cutoff = Event Start Datetime minus Cancellation Deadline hours.","Master Event has:
- Cancellation Type = Cancel
- Cancellation Deadline = 24 hours
- Event Date = 2026-04-01 08:00 (Event Timezone)",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app at 2026-03-31 07:59 (before cutoff)""
2. ""Open event detail and check Cancel Reservation button""
3. ""Login to learner app at 2026-03-31 08:01 (after cutoff)""
4. ""Open event detail and check Cancel Reservation button""
","1. ""App loads""
2. ""Cancel Reservation button is visible and enabled""
3. ""App loads""
4. ""Cancel Reservation button is disabled""
","1. ""Current time = 2026-03-31 07:59""
2. ""Cutoff = 2026-03-31 08:00""
3. ""Current time = 2026-03-31 08:01""
4. ""Cutoff = 2026-03-31 08:00""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Update deadline for in-progress event shows warning,"AC 01.3 - State Transition: Warning message displayed when updating deadline for an event that has already started.","Master Event has activity events
At least one activity event date <= current date",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Update Cancellation Deadline value""
3. ""Save settings""
","1. ""Settings page loads""
2. ""New deadline value entered""
3. ""Message displayed: This event is already in progress. Changes to the cancellation deadline will only apply to activities that have not yet started.""
","1. """"
2. ""New Cancellation Deadline = 48""
3. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Update deadline confirm recomputes for unstarted activities,"AC 01.3 - State Transition: Clicking Confirm on the warning recomputes cancellation deadline for unstarted activity events only.","Master Event has:
- 3 activity events: past, today, future
- Current Cancellation Deadline = 24 hours",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Update Cancellation Deadline to 48 hours""
3. ""Click Confirm on the warning message""
4. ""Check the cancellation deadline of the future activity event""
","1. ""Settings page loads""
2. ""Warning message displayed""
3. ""Deadline recomputed for unstarted activities""
4. ""Future activity event has updated cancellation cutoff based on 48 hours""
","1. """"
2. ""New Cancellation Deadline = 48""
3. """"
4. ""Only future activities are recomputed""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Update deadline cancel closes popup without change,"AC 01.3 - State Transition: Clicking Cancel on the warning dismisses the popup without recomputing.","Master Event has activity events that have already started
Admin is updating Cancellation Deadline",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Update Cancellation Deadline to 48 hours""
3. ""Click Cancel on the warning message""
4. ""Check activity event cancellation deadlines""
","1. ""Settings page loads""
2. ""Warning message displayed""
3. ""Popup closes""
4. ""No cancellation deadlines are changed""
","1. """"
2. """"
3. """"
4. ""Original Cancellation Deadline unchanged""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Cancellation Deadline – Update for not-started event shows no warning,"AC 01.3 - Decision Table: No warning when the event has not started yet; deadline is recomputed silently.","Master Event has only future activity events
No activity event date <= current date",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Update Cancellation Deadline to 48 hours""
3. ""Save settings""
","1. ""Settings page loads""
2. ""New deadline value entered""
3. ""No warning message displayed; Deadline recomputed for all activities""
","1. """"
2. ""New Cancellation Deadline = 48""
3. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Notification Settings – Response Notification field with default none,"AC 01.4 - Equivalence Partitioning: Response Notification field exists with default value none.","Admin has access to Master Event settings",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Locate Reminders and Notification Settings section""
3. ""Check Response Notification field default value""
","1. ""Settings page loads""
2. ""Section displayed""
3. ""Response Notification = none (default)""
","1. """"
2. """"
3. ""Expected default: none""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Notification Settings – Set Response Notification to Cancel,"AC 01.4 - Equivalence Partitioning: Setting Response Notification to Cancel triggers SF notifications for both Cancel and Cancel Request actions.","Admin has access to Master Event settings",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Set Response Notification = Cancel""
3. ""Save settings""
4. ""Re-open Master Event settings""
","1. ""Settings page loads""
2. ""Cancel option selected""
3. ""Settings saved successfully""
4. ""Response Notification = Cancel""
","1. """"
2. """"
3. """"
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Notification Settings – Cancel Notification set but cancellation settings not configured,"AC 01.4 - Decision Table: No notification triggered when Cancel Notification is set but cancellation settings are not configured (Cancel button not visible).","Master Event has:
- Response Notification = Cancel
- Cancellation Type = Do not allow (or Allow Cancellation unchecked)",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Confirm Cancel Reservation button is not visible""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Cancel Reservation button is NOT visible; No notification can be triggered""
","1. """"
2. """"
3. ""Response Notification = Cancel, Cancel Type = Do not allow""
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Notification Settings – Tooltip displayed for Response Notification,"AC 01.4 - Equivalence Partitioning: Tooltip displays correct message for Response Notification field.","Admin has access to Master Event settings",,,low,minor,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Master Event settings""
2. ""Hover over Response Notification tooltip""
","1. ""Settings page loads""
2. ""Tooltip displays: Send a Salesforce notification when the mobile app user submits a response.""
","1. """"
2. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Booking Info – Booking Start Date before current date disables Reserve button,"AC 01.5 - BVA: When current date < booking start date, Reserve button is disabled and message is shown.","Master Event has:
- Booking Start Date = 2026-04-15
- Current Date = 2026-04-10",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app""
2. ""Navigate to the event""
3. ""Check Reserve button state""
4. ""Check displayed message""
","1. ""App loads""
2. ""Event detail displayed""
3. ""Reserve button is disabled""
4. ""Message: This event will be available for booking from 2026-04-15""
","1. """"
2. ""Booking Start Date = 2026-04-15""
3. ""Current Date = 2026-04-10""
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,Cancel Booked Event – Event Master View – New sections and fields reflected,"AC 01.6 - Equivalence Partitioning: Event Master View displays Cancellation Settings, Reminders & Notifications, and Booking Settings sections.","Admin has access to Event Master View",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Event Master View""
2. ""Check for Cancellation Settings section""
3. ""Check for Reminders & Notifications section""
4. ""Check for Booking Settings section""
","1. ""Event Master View loads""
2. ""Cancellation Settings section is displayed""
3. ""Reminders & Notifications section is displayed""
4. ""Booking Settings section is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,2446,,US01 - Configure Cancellation Settings,,,,,
,,,,,,,,,,,,,,,,,,,,2446,,US02 - Display Cancel Reservation Action,1,,,,
,Cancel Booked Event – Cancel Button – Eligible booked participant sees enabled button,"AC 02.1 - Decision Table: Cancel Reservation button is visible and enabled for eligible booked participant.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline not expired
- Event Date is in the future
Student booked via booking system
Response Status = Attend",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Participant Source = Booked, Allow_Cancel_Booked__c = true""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Eligible direct participant sees enabled button,"AC 02.1 - Decision Table: Cancel Reservation button visible and enabled for eligible directly added participant.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = true
- Cancellation Deadline not expired
- Event Date is in the future
Participant added manually in SF
Response Status = Attend",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as participant""
2. ""Open the event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is visible and enabled""
","1. """"
2. """"
3. ""Participant Source = Direct, Allow_Cancel_Direct__c = true""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Deadline is 0 hides Cancellation Deadline section,"AC 02.1 - Equivalence Partitioning: When cancellation deadline is empty or 0 and user is eligible, Cancellation Deadline section is hidden.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline = 0
Student booked via booking system",,,medium,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check for Cancellation Deadline section""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancellation Deadline section is hidden""
","1. """"
2. """"
3. ""Cancellation Deadline = 0""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Disabled when deadline expired,"AC 02.2 - BVA: Cancel Reservation button is disabled when cancellation deadline has expired.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Cancellation Deadline = 24 hours
- Event Date = 2026-04-01 08:00
- Current Time = 2026-03-31 09:00 (after cutoff 2026-03-31 08:00)
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is disabled""
","1. """"
2. ""Cancellation Deadline = 24 hours, Event = 2026-04-01 08:00""
3. ""Current Time = 2026-03-31 09:00, Cutoff = 2026-03-31 08:00""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Disabled when event is in the past,"AC 02.2 - BVA: Cancel Reservation button is disabled when event is in the past.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
- Event Date = 2026-03-10 08:00 (past)
- Current Date = 2026-03-16
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the past event detail""
3. ""Check Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is disabled""
","1. """"
2. ""Event Date = 2026-03-10 (past)""
3. ""Current Date = 2026-03-16""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Hidden when participant not allowed to cancel,"AC 02.3 - Decision Table: Cancel Reservation button hidden when participant source does not match allowed cancellation settings.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = false
- Allow_Cancel_Booked__c = false
Student booked via booking system",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open booked event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is NOT visible (hidden)""
","1. """"
2. """"
3. ""Allow_Cancel_Direct__c = false, Allow_Cancel_Booked__c = false""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Hidden for direct participant when only booking cancellation allowed,"AC 02.3 - Decision Table: Direct participant cannot cancel when only Allow_Cancel_Booked__c = true.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Direct__c = false
- Allow_Cancel_Booked__c = true
Participant added manually in SF (Direct)",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as direct participant""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed""
3. ""Cancel Reservation button is NOT visible (hidden)""
","1. """"
2. """"
3. ""Participant Source = Direct, Allow_Cancel_Direct__c = false""
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Not shown for already Canceled participant,"AC 02.1 - State Transition: Cancel button not shown when Response Status is already Canceled.","Master Event has:
- Cancel Type = Cancel
- Allow_Cancel_Booked__c = true
Student has Response Status = Canceled",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed with Canceled status""
3. ""Cancel Reservation button is NOT visible""
","1. """"
2. ""Response Status = Canceled""
3. """"
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,Cancel Booked Event – Cancel Button – Not shown for Cancel Requested participant,"AC 02.1 - State Transition: Cancel button not shown when Response Status is already Cancel Requested.","Master Event has:
- Cancel Type = Cancel Request
- Allow_Cancel_Booked__c = true
Student has Response Status = Cancel Requested",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Login to learner app as student""
2. ""Open the event detail""
3. ""Check for Cancel Reservation button""
","1. ""App loads""
2. ""Event detail screen displayed with Cancel Requested status""
3. ""Cancel Reservation button is NOT visible""
","1. """"
2. ""Response Status = Cancel Requested""
3. """"
",,,2446,,US02 - Display Cancel Reservation Action,,,,,
,,,,,,,,,,,,,,,,,,,,2446,,US03 - Cancel Event Booking (Cancel Now),1,,,,
